sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d81e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-01-11 03:48:49 +0100,2019-01-11 03:18:29 +0100,2019-01-11 03:28:53 +0100,10.794
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8280>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-01-11 06:32:17 +0100,2019-01-11 03:28:53 +0100,2019-01-11 04:28:53 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8320>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-01-11 06:32:17 +0100,2019-01-11 04:28:53 +0100,2019-01-11 05:28:53 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d83c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-01-11 06:32:17 +0100,2019-01-11 05:28:53 +0100,2019-01-11 06:27:51 +0100,59.468
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8460>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-01-11 06:44:25 +0100,2019-01-11 06:27:51 +0100,2019-01-11 06:42:51 +0100,16.483
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8500>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-01-11 06:42:51 +0100,2019-02-05 15:50:37 +0100,70.177
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d85a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-02-05 15:50:37 +0100,2019-02-05 16:50:37 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8690>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-02-05 16:50:37 +0100,2019-02-05 17:50:37 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8730>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-02-05 17:50:37 +0100,2019-02-05 18:50:37 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d87d0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-02-05 18:50:37 +0100,2019-02-05 19:50:37 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8870>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-02-05 19:50:37 +0100,2019-02-05 20:50:37 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d88c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-02-05 20:50:37 +0100,2019-02-05 21:50:37 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8960>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-02-05 21:50:37 +0100,2019-02-05 22:50:37 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8a00>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-02-05 22:50:37 +0100,2019-02-05 23:50:37 +0100,60.514
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x2828d8aa0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","BasalEnergyBurned","kcal",2019-02-12 14:55:16 +0100,2019-02-05 23:50:37 +0100,2019-02-06 00:50:37 +0100,60.514
