sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb8cd0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:57:19 +0100,2019-02-12 14:54:08 +0100,2019-02-12 14:54:08 +0100,57
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb8d20>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:58:37 +0100,2019-02-12 14:58:36 +0100,2019-02-12 14:58:36 +0100,102
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb8dc0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:58:41 +0100,2019-02-12 14:58:40 +0100,2019-02-12 14:58:40 +0100,56
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb8a50>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:58:46 +0100,2019-02-12 14:58:45 +0100,2019-02-12 14:58:45 +0100,56
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb88c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:58:51 +0100,2019-02-12 14:58:48 +0100,2019-02-12 14:58:48 +0100,57
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb8370>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:58:56 +0100,2019-02-12 14:58:51 +0100,2019-02-12 14:58:51 +0100,60
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb8780>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:59:01 +0100,2019-02-12 14:58:56 +0100,2019-02-12 14:58:56 +0100,68
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb86e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:59:06 +0100,2019-02-12 14:59:05 +0100,2019-02-12 14:59:05 +0100,59
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb9680>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:59:11 +0100,2019-02-12 14:59:10 +0100,2019-02-12 14:59:10 +0100,59
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x282bb9d60>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>","HeartRate","count/min",2019-02-12 14:59:16 +0100,2019-02-12 14:59:11 +0100,2019-02-12 14:59:11 +0100,59
