sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-13 13:12:11 +0100,2019-02-12 14:54:08 +0100,2019-02-12 19:11:48 +0100,109
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-16 12:32:20 +0100,2019-02-16 08:39:30 +0100,2019-02-16 12:32:05 +0100,95
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-18 09:46:44 +0100,2019-02-18 06:52:52 +0100,2019-02-18 09:46:10 +0100,92
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-21 08:17:22 +0100,2019-02-20 06:50:03 +0100,2019-02-20 18:27:52 +0100,95
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-21 13:45:50 +0100,2019-02-21 06:49:14 +0100,2019-02-21 13:45:44 +0100,87.5
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-22 18:04:11 +0100,2019-02-22 06:50:16 +0100,2019-02-22 18:03:29 +0100,91
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-26 21:38:34 +0100,2019-02-26 08:34:12 +0100,2019-02-26 19:21:37 +0100,92
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-26 21:38:34 +0100,2019-02-25 06:54:59 +0100,2019-02-25 18:36:12 +0100,98
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-27 12:02:21 +0100,2019-02-27 06:50:11 +0100,2019-02-27 12:02:14 +0100,86
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-02-28 13:55:08 +0100,2019-02-28 06:59:55 +0100,2019-02-28 13:55:02 +0100,95.5
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-03-02 08:29:09 +0100,2019-03-02 08:11:38 +0100,2019-03-02 08:28:22 +0100,83
"Tazi’s Apple Watch","5.1.3",,"WalkingHeartRateAverage","count/min",2019-03-04 14:00:15 +0100,2019-03-04 06:56:03 +0100,2019-03-04 13:59:51 +0100,84
